諧聲序,形序,聲-明細,聲形-聲,聲形-形,字類,聲-明細',聲序,聲旁,反切-小韻首字,反切-原貌,反切-周祖謨校,反切-余迺永校,反切-覈校說明,字頭-原貌,字頭-周祖謨校,字頭-余迺永校,字頭-覈校說明,字頭-補,廣韻反切原貌(覈校前),廣韻反切(覈校後),上字,下字,廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,廣韻字序,切韻擬音(poem版),切韻拼音(poem版),聲紐,呼,等,韻部(調整後),聲調,組,攝,韻部調整說明,廣韻韻部順序,廣韻韻部原貌(調整前),韻部原貌-平上去入相配爲平(調整前),韻部原貌-相配爲平並標A/B類(調整前),小韻-擬音相同(poem版擬音),開合分析(果攝/寒桓/嚴凡/咍灰/遇攝/通攝/臻攝),開合分析(幫組-歌戈/寒桓/唐/泰/咍灰/魂/模/冬/東一),開合分析(幫組-陽/嚴凡/元/廢/鍾/東三/尤/虞/文/微）,A/B類分析(與各組聲紐撘配),中古拼音(polyhedron 版),現代廣州音理論音,粵聲,粵韻,粵調,現代北京音理論音,京聲,京韻,京調,廣韻頁序,頁內字序,小韻序,小韻內字序,全王本切韻-補字,全王本切韻-字數,全王本切韻-反切,裴本切韻-反切,裴本切韻-字序,裴本切韻-字數,裴本切韻-補字,玉篇-原本玉篇殘卷/篆隸萬象名義,玉篇-是否見於原本玉篇殘卷,玉篇-宋本玉篇,經典釋文-拼音(poem版),經典釋文-反切,合併-廣韻,合併-廣韻反切,合併-切韻擬音(poem版),合併-切韻拼音(poem版),合併-中古拼音(polyhedron 版),上字',上字-切韻拼音(poem版),上字-聲紐,上字-呼,上字-等,上字-韻部,上字-聲調,上字-組,上字-攝,下字',下字-切韻拼音(poem版),下字-聲紐,下字-呼,下字-等,下字-韻部,下字-聲調,下字-組,下字-攝,對比-聲紐(上字/被切字),對比-呼(下字/被切字)(不涉及幫組),對比-呼(幫組下字/其他組被切字),對比-等(下字/被切字),對比-韻部(下字/被切字),對比-韻部A/B類(來紐下字/幫見影三組被切字),對比-韻部A/B類(知組下字/幫見影三組被切字),對比韻部A/B類(其他組下字/幫見影三組被切字),上字-切韻擬音(poem版),上字-中古拼音(polyhedron 版),下字-切韻擬音(poem版),下字-中古拼音(polyhedron 版),建議替換爲,是否聲旁,是否次級聲旁,聲形析微,先秦韻部（引自余迺永的《上古音系研究》）,資料引用-其他版本的字頭
21032,166,音,音,犬,,音,1087,音,乙咸,,,,,,,,,,乙咸,乙咸,乙,咸,𤟟,𤟟,犬吠聲乙咸切又乙陷切三,,9658,ʔæm,qeam,影,開,二,咸,平,影,咸,,下平26,咸,咸,咸,,,,,,qrem,,,,,,,,,下平50左,6,1136,1,,1,乙咸,乙咸,1,3,,於咸,,於陷/於咸,,,乙咸：犬吠聲乙咸切又乙陷切三/於陷：犬吠又乙咸切,乙咸/於陷,ʔæm/ʔæmh,qeam/qeamh,qrem/qremh,乙,qit,影,開,三,真B,入,影,臻,咸,gheam,匣,開,二,咸,平,影,咸,,,,,,,,,ʔɨt,qit,ɦæm,ghrem,,,,,,𤟟
19639,376,嵒,,品山,會意,嵒,1009,敢,五咸,,,,,,,,,,五咸,五咸,五,咸,嵒,嵒,巖也又嶃喦山高皃亦地名五咸切十,,9661,ŋæm,ngeam,疑,開,二,咸,平,見,咸,,下平26,咸,咸,咸,,,,,,ngrem,,,,,,,,,下平50左,9,1137,1,,6,五咸,五咸,1,8,,牛咸,是,女涉/宜咸,ngeam/ngip,五咸3/魚及1,五咸：巖也又嶃喦山高皃亦地名五咸切十,五咸,ŋæm,ngeam,ngrem,五,ngoq,疑,開,一,模,上,見,遇,咸,gheam,匣,開,二,咸,平,影,咸,,,,,,,,,ŋoʔ,ngox,ɦæm,ghrem,,,次級聲旁,巖的或體,,嵒
20901,31,咸,咸,欠,,㰹,1083,咸,許咸,,,,,,,,,,許咸,許咸,許,咸,㰹,㰹,笑皃許咸切五,,9671,hæm,heam,曉,開,二,咸,平,影,咸,,下平26,咸,咸,咸,,,,,,hrem,,,,,,,,,下平50左,19,1138,1,,4,許咸,許咸,1,4,,,是,呼恬,,,許咸：笑皃許咸切五,許咸,hæm,heam,hrem,許,hjooq,曉,開,三,魚,上,影,遇,咸,gheam,匣,開,二,咸,平,影,咸,,,,,,,,,hjɔʔ,hiox,ɦæm,ghrem,,,次級聲旁,,,㰹
20163,27,占,占,言,,占,1049,占,竹咸,,,,,,,,,,竹咸,竹咸,竹,咸,詀,詀,詀諵語聲竹咸切又尺涉切四,,9676,ʈæm,tream,知,開,二,咸,平,知,咸,,下平26,咸,咸,咸,,,,,,trem,,,,,,,,,下平50左,24,1139,1,,3,竹咸,竹咸,1,3,,託兼,是,陟咸/知陷/尺占,,,丁兼：轉語/竹咸：詀諵語聲竹咸切又尺涉切四/佇陷：被誑/叱涉：詀讘細語,丁兼/竹咸/佇陷/叱涉,tem/ʈæm/ɖæmh/tɕhjɛp,tem/tream/dreamh/tchjeep,tem/trem/dremh/chjep,竹,trjok,知,開,三,東,入,知,通,咸,gheam,匣,開,二,咸,平,影,咸,,,,,,,,,ʈjowk,triuk,ɦæm,ghrem,,,,,,詀
21092,27,南,南,言,,南,1090,南,女咸,,,,,,,,,,女咸,女咸,女,咸,諵,諵,詀諵也女咸切二,,9680,ɳæm,nream,娘,開,二,咸,平,知,咸,,下平26,咸,咸,咸,,,,,,nrem,,,,,,,,,下平50左,28,1140,1,,1,女咸,,,,,女函,是,女函,,,女咸：詀諵也女咸切二/尼𧸖：尼𧸖切一,女咸/尼𧸖,ɳæm/ɳæmh,nream/nreamh,nrem/nremh,女,nrjooq,娘,開,三,魚,上,知,遇,咸,gheam,匣,開,二,咸,平,影,咸,,,,,,,,,ɳjɔʔ,nriox,ɦæm,ghrem,,,,,,諵
19886,27,毚,毚,言,,毚,1032,毚,士咸,,,,,,,,,,士咸,士咸,士,咸,讒,讒,譖也士咸切又士銜切十三,,9682,dʐæm,dzream,崇,開,二,咸,平,莊,咸,,下平26,咸,咸,咸,,,,,,zrem,cam4,c,am,4,chan2,ch,an,2,下平50左,30,1141,1,a㔆,9,士咸,士咸,1,11,9㔆,仕咸/仕咸,是,士銜,dzream,士咸3/仕咸1,士咸：譖也士咸切又士銜切十三/士懺：譖也又士衫切,士咸/士懺,dʐæm/dʐamh,dzream/dzramh,zrem/zramh,士,dzreq,崇,開,三,之,上,莊,止,咸,gheam,匣,開,二,咸,平,影,咸,,,,,,,,,dʐɨʔ,zrix,ɦæm,ghrem,,,,,,讒
20926,155,臽,臽,鳥,,臽,1084,臽,苦咸,,,,,,,,,,苦咸,苦咸,苦,咸,鵮,鵮,鳥鵮物苦咸切五,,9695,khæm,kheam,溪,開,二,咸,平,見,咸,,下平26,咸,咸,咸,,,,,,khrem,,,,,,,,,下平50左,43,1142,1,,1,苦咸,口咸,1,1,,,,知咸/口咸,,,竹咸：鳥啄物也又苦咸切/苦咸：鳥鵮物苦咸切五,竹咸/苦咸,ʈæm/khæm,tream/kheam,trem/khrem,苦,khoq,溪,開,一,模,上,見,遇,咸,gheam,匣,開,二,咸,平,影,咸,,,,,,,,,khoʔ,khox,ɦæm,ghrem,,,,,,鵮
19709,80,銜,,行金,會意,銜,1013,銜,戶監,,,,,,,,,,戶監,戶監,戶,監,銜,銜,說文曰馬勒口中从金从行銜行馬者戶監切二,,9700,ɦam,gham,匣,開,二,銜,平,影,咸,,下平27,銜,銜,銜,,,,,,ghram,ham4,h,am,4,xian2,x,ian,2,下平50左,48,1143,1,a譀,3,戶監,戶監,1,3,2譀,遐衫/戶監,,下監,gham,咸2,戶監：說文曰馬勒口中从金从行銜行馬者戶監切二,戶監,ɦam,gham,ghram,戶,ghoq,匣,開,一,模,上,影,遇,監,kam,見,開,二,銜,平,見,咸,,,,,,,,,ɦoʔ,ghox,kam,kram,,聲旁,次級聲旁,暫將金視爲形旁,談,銜
19897,297,毚,毚,山,,毚,1032,毚,鋤銜,,,,,,,,,,鋤銜,鋤銜,鋤,銜,巉,巉,險也鋤銜切八,,9702,dʐam,dzram,崇,開,二,銜,平,莊,咸,,下平27,銜,銜,銜,,,,,,zram,,,,,,,,,下平50左,50,1144,1,a劖a涔,7,鋤銜,鋤銜,1,9,3劖6讒7涔9儳,仕芟,是,士衫,dzream,士杉1/士咸1,鋤銜：險也鋤銜切八/仕檻：峻巉皃仕檻切一,鋤銜/仕檻,dʐam/dʐamʔ,dzram/dzramq,zram/zramx,鋤,dzrjoo,崇,開,三,魚,平,莊,遇,銜,gham,匣,開,二,銜,平,影,咸,,,,,,,,,dʐjɔ,zrio,ɦam,ghram,,,,,,巉
19637,297,嚴,嚴,山,,巖,1009,敢,五銜,,,,,,,,,,五銜,五銜,五,銜,巖,巖,峯也險也峻廊也五銜切三,,9710,ŋam,ngam,疑,開,二,銜,平,見,咸,,下平27,銜,銜,銜,,,,,,ngram,ngam4,ng,am,4,yian2,y,ian,2,下平51右,2,1145,1,,3,五銜,五銜,1,3,,牛芟,是,午衫,ngam/ngeam/ngjoom/0,五銜2/如字1/語銜1/嵒1/語咸1/嚴1/□1,五銜：峯也險也峻廊也五銜切三,五銜,ŋam,ngam,ngram,五,ngoq,疑,開,一,模,上,見,遇,銜,gham,匣,開,二,銜,平,影,咸,,,,,,,,,ŋoʔ,ngox,ɦam,ghram,,,次級聲旁,,,巖
19889,47,毚,毚,手,,毚,1032,毚,楚銜,,,,,,,,,,楚銜,楚銜,楚,銜,攙,攙,攙搶祅星爾雅作欃槍楚銜切又士咸切一,,9713,tʂham,tshram,初,開,二,銜,平,莊,咸,,下平27,銜,銜,銜,,,,,,chram,cam1,c,am,1,chan1,ch,an,1,下平51右,5,1146,1,a𪖎,2,楚銜,楚銜,1,,,仕銜,,仕銜/楚銜,,,士咸：刺也又楚銜切/楚銜：攙搶祅星爾雅作欃槍楚銜切又士咸切一,士咸/楚銜,dʐæm/tʂham,dzream/tshram,zrem/chram,楚,tshrjooq,初,開,三,魚,上,莊,遇,銜,gham,匣,開,二,銜,平,影,咸,,,,,,,,,tʂhjɔʔ,chriox,ɦam,ghram,,,,,,攙
21242,352,彡,彡,衣,,彡,1098,彡,所銜,,,,,,,,,,所銜,所銜,所,銜,衫,衫,衫衣所銜切八,,9714,ʂam,sram,生,開,二,銜,平,莊,咸,,下平27,銜,銜,銜,,,,,,sram,sam1,s,am,1,shan1,sh,an,1,下平51右,6,1147,1,a𥌈a𩃔,9,所銜,所銜,1,10,4𦡶5𩃔8杉9摻,,,所銜/所炎,,,所銜：衫衣所銜切八,所銜,ʂam,sram,sram,所,srjooq,生,開,三,魚,上,莊,遇,銜,gham,匣,開,二,銜,平,影,咸,,,,,,,,,ʂjɔʔ,sriox,ɦam,ghram,,,,,,衫
